Review,Sentiment
This product is amazing! I love it.,1
"It broke after one use, completely disappointed.",0
"Great quality, definitely worth the price.",1
"Terrible purchase, I regret buying it.",0
"The product is okay, not as good as I expected.",0
Excellent value for money! Highly recommend.,1
"Not worth the money, very poor quality.",0
"I am very happy with this product, great purchase.",1
"Worst product ever, do not buy.",0
"Love this product, would buy again.",1
"Not bad, does the job as expected.",0
"Very bad, completely useless.",0
"Satisfactory product, not the best but fine.",1
"Amazing product, exceeded my expectations!",1
"It was okay, but I would not buy again.",0
